Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
72 Jacqueline Jarik,14,"2,3,4,6,8,9,10,11,12,13,15,17,19,20,21",10,4,3,0,9,6,8,9,0,0,0,1,4,3,1,1,0,0,51.11,20.66,12.78,5.16,138.33,69.63,15.37,7.74
99 Dana Demmert,12,"2,3,4,6,8,9,12,13,15,16,19,20",8,4,3,1,10,6,10,10,0,1,0,0,3,1,2,0,0,0,113.15,26.48,14.14,3.31,141.76,103.90,14.18,10.39
21 Annie Shriver,11,"1,3,5,7,10,11,14,15,17,18,19,21",10,1,1,0,11,9,11,8,3,0,0,0,3,3,0,2,0,0,112.02,40.10,16.00,5.73,101.24,33.60,12.66,4.20
52 Erynn Schroeder,11,"1,2,5,7,10,11,14,15,17,18,19,21",10,1,1,0,37,12,37,17,20,0,0,0,12,11,1,2,0,0,343.01,155.92,14.29,6.50,220.00,11.11,12.94,0.65
22 Alex Ballinger,11,"2,3,6,8,9,12,13,15,16,19,20",7,4,3,1,18,7,18,12,6,0,1,0,1,1,0,3,0,0,200.30,60.35,12.52,3.77,145.34,36.44,12.11,3.04
12 Sydney French,11,"2,3,4,6,8,9,12,13,16,19,20",7,4,3,1,14,4,13,11,3,0,0,1,5,5,0,0,0,0,89.34,55.95,17.87,11.19,159.31,84.80,14.48,7.71
10 Chelsea Twohig,10,"2,3,4,8,9,12,13,16,19,20",6,4,3,1,15,7,14,9,6,3,0,1,2,1,1,0,0,0,257.69,187.01,19.82,14.39,140.15,38.07,15.57,4.23
17 Caitlin Duffner,9,"1,2,5,7,10,11,14,15,17",8,1,0,0,6,5,6,6,0,0,0,0,2,0,2,1,0,0,82.83,18.49,13.80,3.08,97.63,33.73,16.27,5.62
97 Eileen Bequette,8,"4,6,8,9,12,13,16,20",4,4,2,1,5,4,4,4,1,0,1,1,3,2,1,1,0,0,27.16,-10.91,13.58,-5.45,128.88,126.86,32.22,31.72
05 Rose Glinka,7,"1,5,7,10,11,14,18,21",7,0,0,0,9,5,9,8,1,0,0,0,3,1,2,0,0,0,105.93,35.22,13.24,4.40,105.13,30.75,13.14,3.84
08 Manhua Zhu,6,"1,5,10,11,15,17,21",5,1,0,0,14,6,14,9,5,0,0,0,5,5,0,0,0,0,91.98,30.34,13.14,4.33,121.63,38.27,13.51,4.25
32 Mickela Heilicher,6,"4,6,8,9,12,16",4,2,2,1,14,5,14,5,9,0,2,0,3,2,1,0,0,0,161.54,119.41,14.69,10.86,48.33,21.34,9.67,4.27
13 Erin Newman,6,"1,3,7,10,14,18",6,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,19.72,-12.26,19.72,-12.26,23.30,18.56,11.65,9.28
07 Sydney Stelzer,6,"5,7,11,14,17,18",5,1,0,0,1,1,1,1,0,0,0,0,3,0,3,0,0,0,15.72,-9.75,15.72,-9.75,22.91,5.01,22.91,5.01
00 Donna Johnston,5,"4,6,13,16,20",2,3,0,1,3,3,3,3,0,0,0,0,2,1,1,0,0,0,19.68,9.48,9.84,4.74,42.25,5.15,14.08,1.72
88 Claire Kelley,4,"1,5,14,18,21",4,0,0,0,4,4,4,4,0,0,0,0,1,1,0,0,0,0,42.96,2.71,14.32,0.90,71.86,44.84,17.96,11.21
27 Stef Bugasch,3,"7,17,18,21",2,1,0,0,4,4,4,3,1,0,0,0,0,0,0,1,0,0,33.12,-2.91,11.04,-0.97,59.21,24.25,19.74,8.08
