Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-16 21:02:07,1,1,1,0,0.5111111,0.77098763,52 Erynn Schroeder,6,,,,05 Rose Glinka,,
2024-04-16 21:03:41,1,2,1,0,0.077777736,0.81790125,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-04-16 21:04:47,1,3,1,0,0.5194444,0.77592593,52 Erynn Schroeder,4,,,,08 Manhua Zhu,,
2024-04-16 21:06:56,2,1,1,0,0.079166666,0.5092593,08 Manhua Zhu,3,,,,,07 Sydney Stelzer,
2024-04-16 21:07:34,2,2,1,0,0.24722226,0.40864196,52 Erynn Schroeder,2,,,,,52 Erynn Schroeder,
2024-04-16 21:08:53,2,3,1,0,0.4777778,0.55864197,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-04-16 21:10:57,2,4,1,0,0.68611115,0.24506174,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-04-16 21:11:35,2,5,1,0,0.49444446,0.5438272,21 Annie Shriver,3,,,,52 Erynn Schroeder,,
2024-04-16 21:15:59,3,1,1,0,0.5125,0.7641975,10 Chelsea Twohig,5,,,,12 Sydney French,,
2024-04-16 21:16:43,3,2,1,0,0.18888886,0.82469136,22 Alex Ballinger,1,,,,22 Alex Ballinger,,
2024-04-16 21:17:26,3,3,1,0,0.14166667,0.8203704,22 Alex Ballinger,2,,,,,99 Dana Demmert,
2024-04-16 21:18:37,3,4,1,0,0.15,0.8203704,10 Chelsea Twohig,1,,,,10 Chelsea Twohig,,
2024-04-16 21:20:47,4,1,1,0,0.1652778,0.6493827,27 Stef Bugasch,2,,,,,05 Rose Glinka,
2024-04-16 21:21:27,4,2,1,0,0.7513889,0.80864197,52 Erynn Schroeder,7,,,,21 Annie Shriver,,
2024-04-16 21:25:28,4,3,1,0,0.525,0.1740741,32 Mickela Heilicher,1,,,,32 Mickela Heilicher,,
2024-04-16 21:27:52,5,1,1,0,0.89166665,0.6944445,05 Rose Glinka,3,,,,08 Manhua Zhu,,
2024-04-16 21:28:33,5,2,1,0,0.5125,0.65925926,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-04-16 21:29:45,5,3,1,0,0.25972226,0.63024694,21 Annie Shriver,2,,,,88 Claire Kelley,,
2024-04-16 21:32:40,6,1,1,0,0.52777773,0.7209877,32 Mickela Heilicher,5,,,,,32 Mickela Heilicher,
2024-04-16 21:34:21,6,2,1,0,0.75277776,0.79753083,12 Sydney French,1,,,,12 Sydney French,,
2024-04-16 21:34:48,6,3,1,0,0.0944444,0.8117284,32 Mickela Heilicher,2,,,,12 Sydney French,,
2024-04-16 21:35:35,6,4,1,0,0.81527776,0.80987656,32 Mickela Heilicher,9,,,,72 Jacqueline Jarik,,
2024-04-16 21:38:35,6,5,1,0,0.24583334,0.6574074,12 Sydney French,1,,,,12 Sydney French,,
2024-04-16 21:40:09,7,1,1,0,0.46111113,0.61296296,52 Erynn Schroeder,4,,,,21 Annie Shriver,,
2024-04-16 21:43:52,8,1,1,1,0.73333335,0.6339506,22 Alex Ballinger,8,32 Mickela Heilicher,99 Dana Demmert,10 Chelsea Twohig,,,
2024-04-16 21:48:04,9,1,0,0,0.8194445,0.79814816,10 Chelsea Twohig,3,,,,97 Eileen Bequette,,
2024-04-16 21:53:22,10,1,1,0,0.46805555,0.7080247,08 Manhua Zhu,6,,,,08 Manhua Zhu,,
2024-04-16 21:58:46,10,2,1,0,0.30138892,0.5555556,52 Erynn Schroeder,3,,,,,17 Caitlin Duffner,
2024-04-16 22:01:49,11,1,1,0,0.17916666,0.68209875,08 Manhua Zhu,13,,,,,72 Jacqueline Jarik,
2024-04-16 22:04:46,11,2,1,0,0.71666664,0.2574074,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-04-16 22:06:31,12,1,1,1,0.46388894,0.5438272,32 Mickela Heilicher,2,32 Mickela Heilicher,10 Chelsea Twohig,97 Eileen Bequette,,,
2024-04-16 22:08:55,14,1,1,0,0.47638893,0.6098766,52 Erynn Schroeder,2,,,,,05 Rose Glinka,
2024-04-16 22:10:52,15,1,1,0,0.49027774,0.6907407,52 Erynn Schroeder,2,,,,08 Manhua Zhu,,
2024-04-16 22:11:31,15,2,1,0,0.71805555,0.8320988,52 Erynn Schroeder,4,,,,52 Erynn Schroeder,,
2024-04-16 22:12:33,15,3,1,0,0.47916666,0.554321,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-04-16 22:13:22,15,4,1,0,0.27916667,0.682716,08 Manhua Zhu,2,,,,52 Erynn Schroeder,,
2024-04-16 22:14:03,15,5,1,0,0.3847222,0.4962963,52 Erynn Schroeder,3,,,,,07 Sydney Stelzer,
2024-04-16 22:15:06,15,6,1,0,0.30138886,0.5024691,52 Erynn Schroeder,5,,,,,99 Dana Demmert,
2024-04-16 22:18:02,15,7,1,0,0.3875,0.7074074,22 Alex Ballinger,2,,,,72 Jacqueline Jarik,,
2024-04-16 22:19:09,15,8,1,0,0.48333332,0.8259259,52 Erynn Schroeder,4,,,,52 Erynn Schroeder,17 Caitlin Duffner,
2024-04-16 22:20:08,15,9,1,0,0.15277773,0.8067901,08 Manhua Zhu,1,,,,08 Manhua Zhu,,
2024-04-16 22:21:50,16,1,0,0,0.50555557,0.57592595,32 Mickela Heilicher,3,,,,,00 Donna Johnston,
2024-04-16 22:22:25,16,2,0,0,0.7,0.4740741,32 Mickela Heilicher,4,,,,,10 Chelsea Twohig,
2024-04-16 22:26:27,16,3,0,0,0.09444447,0.5123457,32 Mickela Heilicher,2,,,,12 Sydney French,,
2024-04-16 22:27:52,16,4,0,0,0.084722266,0.72407407,10 Chelsea Twohig,2,,,,,97 Eileen Bequette,
2024-04-16 22:28:36,16,5,0,0,0.60833335,0.56543213,32 Mickela Heilicher,4,,,,32 Mickela Heilicher,,
2024-04-16 22:29:57,16,6,0,1,0.6888889,0.595679,12 Sydney French,5,97 Eileen Bequette,10 Chelsea Twohig,12 Sydney French,,,
2024-04-16 22:32:41,18,1,1,0,0.17083333,0.49567902,21 Annie Shriver,1,,,,21 Annie Shriver,,
2024-04-16 22:33:14,18,2,1,0,0.7430556,0.82962966,52 Erynn Schroeder,2,,,,,07 Sydney Stelzer,
2024-04-16 22:36:39,19,1,1,1,0.42361107,0.6882716,10 Chelsea Twohig,8,22 Alex Ballinger,10 Chelsea Twohig,72 Jacqueline Jarik,,,
2024-04-16 22:38:43,20,1,0,0,0.3402778,0.50555557,22 Alex Ballinger,3,,,,97 Eileen Bequette,,
2024-04-16 22:39:30,20,2,0,0,0.24166666,0.42160493,22 Alex Ballinger,3,,,,99 Dana Demmert,,
2024-04-16 22:40:34,20,3,0,0,0.31388894,0.27901235,97 Eileen Bequette,2,,,,00 Donna Johnston,,
2024-04-16 22:41:23,20,4,0,0,0.07638893,0.65679014,10 Chelsea Twohig,2,,,,72 Jacqueline Jarik,,
2024-04-16 22:43:51,21,1,1,0,0.5402777,0.75185186,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
