Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-14 10:23:36,3,15 Florence Brooks,0,0,0,0,0.8847223,0.4092593
2024-04-14 11:01:54,8,37 Claire Trop,0,0,0,0,0.3375,0.51358026
2024-04-14 11:10:24,9,26 Jessica Sourbeer,0,0,0,0,0.49583334,0.491358
2024-04-14 11:14:56,10,66 Jackie Wang,0,0,0,0,0.63611114,0.6067901
2024-04-14 11:23:43,12,26 Jessica Sourbeer,0,0,0,0,0.5180556,0.32592595
2024-04-14 11:36:52,14,23 Lisa Dang,0,0,0,0,0.3652778,0.52160496
2024-04-14 11:56:49,15,24 Jamie Eriksson,0,0,0,0,0.49583334,0.55493826
2024-04-14 11:59:26,16,37 Claire Trop,0,0,0,0,0.8625,0.48271605
2024-04-14 12:03:26,17,05 Marie Perivier,0,0,0,0,0.5027778,0.76913583
2024-04-14 12:09:55,18,24 Jamie Eriksson,0,0,0,0,0.21527773,0.5611111
2024-04-14 12:11:10,18,06 Laureen Johnson,0,0,0,0,0.53333336,0.5030864
2024-04-14 12:21:33,21,36 Carolyn Normile,0,0,0,0,0.39393944,0.6166565
2024-04-14 12:22:48,21,01 Ashleigh Jentilet,0,0,0,0,0.52916664,0.24320988
2024-04-14 12:36:36,22,07 Kami Groom,0,0,0,0,0.28888893,0.75864196
2024-04-14 12:37:54,22,13 Sami Smalling,0,0,0,0,0.76944447,0.30925927
2024-04-14 13:00:59,30,09 Annalise Peters,0,0,0,0,0.39722225,0.44135803
2024-04-14 13:04:11,31,66 Jackie Wang,0,0,0,0,0.6069444,0.75
