Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
37 Claire Trop,11,"1,4,7,8,9,12,16,19,23,26,29",3,8,3,6,16,11,14,14,2,1,3,2,2,0,2,2,0,0,204.11,54.66,15.7,4.2,195.14,137.43,13.94,9.82
36 Carolyn Normile,11,"2,5,8,9,12,15,18,21,24,27,30",2,9,2,5,15,8,15,11,4,0,1,0,1,1,0,1,0,0,157.87,15.04,12.14,1.16,140.82,49.24,12.8,4.48
26 Jessica Sourbeer,11,"2,5,8,9,12,15,18,21,24,27,30",2,9,2,5,16,7,16,12,4,2,3,0,1,1,0,2,0,0,227.8,136.82,15.19,9.12,134.77,-11.85,11.23,-0.99
09 Annalise Peters,11,"2,5,8,9,12,15,18,21,24,27,30",2,9,2,5,15,7,15,11,4,3,2,0,2,2,0,1,0,0,249.62,197.98,19.2,15.23,144.84,53.1,13.17,4.83
07 Kami Groom,9,"6,10,13,16,19,22,25,27,28,31",1,8,1,7,12,8,10,12,0,0,1,2,1,1,0,1,0,0,128.28,39.42,14.25,4.38,208.88,162.49,17.41,13.54
13 Sami Smalling,9,"3,6,10,13,16,19,22,25,28,31",2,7,2,6,17,8,17,14,3,1,3,0,0,0,0,1,0,0,221.66,130.32,13.85,8.14,163.86,36.91,11.7,2.64
01 Ashleigh Jentilet,10,"2,5,8,9,15,18,21,24,27,30",1,9,1,5,10,6,7,9,1,0,0,3,3,3,0,1,0,0,44.1,-1.69,11.02,-0.42,143.97,100.11,16,11.12
05 Marie Perivier,10,"1,4,7,11,14,17,20,23,26,29",2,8,2,6,7,6,5,7,0,2,0,2,2,0,2,1,0,0,65.65,42.74,13.13,8.55,105.03,74.1,15,10.59
16 Margaret Walker,10,"1,4,7,11,14,17,20,23,26,29",2,8,2,6,17,9,17,10,7,3,1,0,3,2,1,0,0,0,240.84,160.39,16.06,10.69,119.76,21.95,11.98,2.19
24 Jamie Eriksson,10,"2,5,8,9,15,18,21,24,27,30",1,9,1,5,7,4,7,5,2,2,0,0,0,0,0,2,0,0,103.43,54.8,14.78,7.83,103.18,65.09,20.64,13.02
66 Jackie Wang,8,"3,6,10,13,16,19,22,28,31",1,7,1,6,22,8,21,13,9,2,1,1,1,1,0,2,0,0,305.33,160.8,15.27,8.04,171.86,25.6,13.22,1.97
22 Erin McCann,9,"2,5,8,9,12,15,18,21,30",2,7,2,4,2,2,2,2,0,0,1,0,0,0,0,0,0,0,7.38,5.15,7.38,5.15,31.13,20.39,15.56,10.19
23 Lisa Dang,9,"1,4,11,14,17,20,23,26,29",2,7,2,6,22,9,22,15,7,0,1,0,0,0,0,1,0,0,229.89,116.3,12.77,6.46,202.87,-0.54,13.52,-0.04
00 Emma Jones,8,"6,10,13,16,19,22,25,28,31",1,7,1,6,3,2,3,3,0,1,0,0,0,0,0,0,0,0,44.39,31.02,14.8,10.34,58.55,29.6,19.52,9.87
04 Ellen Mueller,8,"3,6,10,13,19,22,25,28,31",2,6,2,5,4,4,4,4,0,1,0,0,0,0,0,0,0,0,56.27,26.69,14.07,6.67,72.36,56.49,18.09,14.12
06 Laureen Johnson,9,"2,5,12,15,18,21,24,27,30",2,7,2,4,5,4,2,5,0,0,0,3,0,0,0,1,0,0,22.32,-1.42,11.16,-0.71,100.07,81.82,20.01,16.36
42 Lisi Lohre,7,"3,6,10,13,19,22,25,31",2,5,2,5,8,6,7,8,0,1,1,1,3,2,1,0,0,0,85.96,65.09,17.19,13.02,124.19,87.17,15.52,10.9
08 Kathryn Ritzman,7,"1,11,14,17,20,26,29",2,5,2,4,8,6,7,8,0,1,2,1,1,0,1,0,0,0,115.88,71.93,16.55,10.28,135.91,86.7,16.99,10.84
19 Allie Wallace,7,"1,4,11,14,17,20,26",1,6,1,5,7,6,5,6,1,1,0,2,0,0,0,0,0,0,93.39,27.16,18.68,5.43,96.73,75.79,16.12,12.63
21 Jess Oh,7,"7,11,14,17,20,23,26",0,7,0,5,8,5,6,7,1,1,2,2,2,1,1,0,0,0,57.31,29.06,11.46,5.81,127.52,88.93,18.22,12.7
12 Clare Frantz,7,"1,4,11,14,17,23,29",2,5,2,4,3,2,3,3,0,0,0,0,0,0,0,0,0,0,33.07,-10.16,11.02,-3.39,51.14,39.69,17.05,13.23
15 Florence Brooks,5,"3,6,10,13,25",2,3,2,3,6,4,3,6,0,1,0,3,0,0,0,1,0,0,41.08,24.93,13.69,8.31,79.36,62.92,13.23,10.49
07 Kami Groom,2,"3,25",2,0,2,0,4,1,3,4,0,0,0,1,0,0,0,0,0,0,35.51,-2.3,11.84,-0.77,59.17,31.56,14.79,7.89
