Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
4/14/2024 10:04,1,0,0,1,1,2,16,1,0,1,0,1,23 Lisa Dang,08 Kathryn Ritzman,19 Allie Wallace
4/14/2024 10:11,2,1,0,0,0,0,0,0,0,0,0,0,,,
4/14/2024 10:13,3,1,1,1,1,2,13,1,1,0,1,0,13 Sami Smalling,66 Jackie Wang,07 Kami Groom
4/14/2024 10:27,4,2,1,0,1,2,6,1,0,1,0,2,37 Claire Trop,16 Margaret Walker,37 Claire Trop
4/14/2024 10:32,5,3,1,0,1,1,5,0,0,0,0,1,26 Jessica Sourbeer,24 Jamie Eriksson,06 Laureen Johnson
4/14/2024 10:35,6,4,1,0,1,2,13,1,0,1,0,2,42 Lisi Lohre,00 Emma Jones,15 Florence Brooks
4/14/2024 10:42,7,5,1,0,0,2,3,2,1,1,0,2,,,
4/14/2024 10:56,8,5,2,0,0,2,7,2,1,1,1,1,,,
4/14/2024 11:09,9,5,3,0,1,1,6,0,0,0,1,0,36 Carolyn Normile,09 Annalise Peters,01 Ashleigh Jentilet
4/14/2024 11:11,10,6,3,0,1,2,11,1,1,0,1,1,66 Jackie Wang,42 Lisi Lohre,15 Florence Brooks
4/14/2024 11:16,11,7,3,0,0,2,4,2,1,1,0,2,,,
4/14/2024 11:21,12,7,4,1,1,2,7,1,0,1,1,0,26 Jessica Sourbeer,09 Annalise Peters,37 Claire Trop
4/14/2024 11:24,13,8,4,0,1,1,10,0,0,0,0,1,13 Sami Smalling,15 Florence Brooks,42 Lisi Lohre
4/14/2024 11:29,14,9,4,0,1,2,14,1,0,1,1,1,21 Jess Oh,05 Marie Perivier,21 Jess Oh
4/14/2024 11:40,15,10,4,1,1,2,5,1,1,0,1,0,09 Annalise Peters,24 Jamie Eriksson,01 Ashleigh Jentilet
4/14/2024 11:57,16,11,4,0,1,1,2,0,0,0,1,0,37 Claire Trop,66 Jackie Wang,07 Kami Groom
4/14/2024 12:00,17,12,4,0,1,1,8,0,0,0,1,0,16 Margaret Walker,19 Allie Wallace,08 Kathryn Ritzman
4/14/2024 12:05,18,13,4,0,1,4,23,3,3,0,2,2,22 Erin McCann,26 Jessica Sourbeer,06 Laureen Johnson
4/14/2024 12:13,19,14,4,0,1,1,3,0,0,0,0,1,13 Sami Smalling,37 Claire Trop,07 Kami Groom
4/14/2024 12:15,20,15,4,0,1,2,6,1,1,0,0,2,08 Kathryn Ritzman,21 Jess Oh,05 Marie Perivier
4/14/2024 12:19,21,16,4,0,0,2,4,2,2,0,2,0,,,
4/14/2024 12:25,22,16,5,0,1,2,7,1,1,0,2,0,,13 Sami Smalling,66 Jackie Wang
4/14/2024 12:38,23,17,5,0,1,1,7,0,0,0,0,1,37 Claire Trop,16 Margaret Walker,21 Jess Oh
4/14/2024 12:40,24,18,5,0,0,0,0,0,0,0,0,0,,,
4/14/2024 12:43,25,18,6,1,1,1,3,0,0,0,0,0,07 Kami Groom,04 Ellen Mueller,15 Florence Brooks
4/14/2024 12:46,26,19,6,0,1,1,5,0,0,0,0,1,21 Jess Oh,05 Marie Perivier,19 Allie Wallace
4/14/2024 12:52,27,20,6,0,1,1,3,0,0,0,0,1,26 Jessica Sourbeer,09 Annalise Peters,06 Laureen Johnson
4/14/2024 12:55,28,21,6,0,0,0,0,0,0,0,0,0,,,
4/14/2024 12:57,29,21,7,1,1,1,6,0,0,0,0,0,08 Kathryn Ritzman,16 Margaret Walker,05 Marie Perivier
4/14/2024 12:59,30,22,7,0,1,1,6,0,0,0,1,0,09 Annalise Peters,26 Jessica Sourbeer,01 Ashleigh Jentilet
4/14/2024 13:02,31,23,7,0,0,1,8,1,1,0,1,0,,,
