Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-14 20:36:41,1,1,45 Sylvia Brown,17 Rachel Barr,0,0,0,0,0,0,0,0,0,1,0,12.73675,11.650135,5.1477323,0.94027776,0.8358025,0.8347222,0.72962964
2024-04-14 20:36:44,1,1,17 Rachel Barr,21 Elena Rubino,1,1,0,0,0,0,0,0,0,0,0,16.8705,16.865604,-0.40639964,0.8347222,0.72962964,0.84305555,0.5759259
2024-04-14 20:42:34,2,1,27 Katharine Gilbert,08 Grace Robinson,0,0,0,0,0,0,0,0,1,0,0,15.212132,-7.1797366,13.411202,0.72083336,0.67530864,0.44583333,0.7407408
2024-04-14 20:42:39,2,1,08 Grace Robinson,22 Rebecca Henley,0,0,0,0,0,0,0,0,0,0,0,10.44105,10.227738,2.0997324,0.44583333,0.7407408,0.4027778,0.64753085
2024-04-14 20:42:40,2,1,22 Rebecca Henley,10 Tori Taylor,0,0,0,0,0,0,0,0,0,0,0,8.937204,8.060264,3.8607993,0.4027778,0.64753085,0.32361114,0.5740741
2024-04-14 20:42:48,2,1,10 Tori Taylor,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,7.690046,-0.74506426,-7.6538672,0.32361114,0.5740741,0.4805556,0.5808642
2024-04-14 20:43:00,2,1,27 Katharine Gilbert,22 Rebecca Henley,0,0,0,0,0,0,0,0,0,0,0,9.584926,5.08,-8.128001,0.4805556,0.5808642,0.6472223,0.5345679
2024-04-14 20:43:02,2,1,22 Rebecca Henley,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,8.563912,8.466664,-1.2869302,0.6472223,0.5345679,0.6736111,0.45740741
2024-04-14 20:43:11,2,1,27 Katharine Gilbert,16 Emily Branson,0,0,0,0,0,0,0,0,0,0,0,8.052012,1.7610669,-7.85707,0.6736111,0.45740741,0.8347223,0.44135803
2024-04-14 20:43:19,2,1,16 Emily Branson,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,1,8.554,8.466668,-1.2191988,0.8347223,0.44135803,0.85972226,0.36419752
2024-04-14 20:43:29,2,1,27 Katharine Gilbert,10 Tori Taylor,0,0,0,0,0,0,0,0,1,1,0,10.041226,-9.211736,3.9962678,0.85972226,0.36419752,0.7777778,0.44814816
2024-04-14 20:43:32,2,1,10 Tori Taylor,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,7.640667,7.4506655,-1.6933328,0.7777778,0.44814816,0.8125,0.38024694
