Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-14 20:32:40,1,0,0,0,0,1,2,1,1,0,0,1,,,
2024-04-14 20:37:41,2,0,1,1,1,1,16,0,0,0,0,0,08 Grace Robinson,27 Katharine Gilbert,10 Tori Taylor
2024-04-14 20:44:12,3,1,1,0,0,1,5,1,1,0,0,1,,,
2024-04-14 20:49:08,4,1,2,1,0,2,7,2,0,2,1,0,,,
2024-04-14 20:52:31,5,1,3,1,0,1,4,1,1,0,0,0,,,
2024-04-14 20:54:51,6,1,4,1,0,2,19,2,2,0,0,1,,,
2024-04-14 20:59:47,7,1,5,1,1,3,9,2,1,1,1,1,45 Sylvia Brown,21 Elena Rubino,07 Mary Cowart
2024-04-14 21:04:55,8,2,5,1,0,3,9,3,2,1,1,1,,,
2024-04-14 21:10:47,9,2,6,1,0,2,9,2,2,0,0,1,,,
2024-04-14 21:14:32,10,2,7,1,1,3,13,2,2,0,1,1,27 Katharine Gilbert,10 Tori Taylor,22 Rebecca Henley
2024-04-14 21:22:35,11,3,7,0,0,1,3,1,1,0,1,0,,,
2024-04-14 21:30:40,12,3,8,1,0,1,5,1,1,0,0,0,,,
2024-04-14 21:32:39,13,3,9,1,0,2,8,2,2,0,0,1,,,
2024-04-14 21:36:08,14,3,10,0,0,1,19,1,1,0,0,1,,,
2024-04-14 22:43:24,15,3,11,1,0,1,4,1,1,0,0,0,,,
2024-04-14 22:45:25,16,3,12,1,0,1,4,1,1,0,0,0,,,
2024-04-14 22:48:07,17,3,13,1,0,4,9,4,4,0,2,1,,,
2024-04-14 23:05:14,18,3,14,1,0,1,3,1,1,0,0,0,,,
2024-04-14 23:07:16,19,3,15,1,0,2,7,2,1,1,0,1,,,
2024-04-14 23:10:10,20,3,16,1,0,3,16,3,2,1,1,1,,,
2024-04-14 23:16:17,21,3,17,1,0,2,8,2,2,0,1,0,,,
2024-04-14 23:22:41,22,3,18,1,0,1,1,1,1,0,0,0,,,
2024-04-14 23:23:37,23,3,19,1,1,1,10,0,0,0,0,0,20 Noel Holmes,21 Elena Rubino,45 Sylvia Brown
2024-04-14 23:25:48,24,4,19,0,0,0,0,0,0,0,0,0,,,
2024-04-14 23:27:14,25,4,20,1,0,1,26,1,1,0,0,0,,,
2024-04-14 23:33:17,26,4,21,1,0,1,6,1,1,0,0,0,,,
2024-04-14 23:36:15,27,4,22,1,1,1,18,0,0,0,0,0,82 Mary Turner,10 Tori Taylor,08 Grace Robinson
2024-04-14 23:40:26,28,5,22,0,0,0,0,0,0,0,0,0,,,
2024-04-14 23:41:26,29,5,23,1,0,1,4,1,1,0,0,0,,,
2024-04-14 23:43:33,30,5,24,1,0,1,8,1,1,0,1,0,,,
