Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-14 20:36:21,1,1,0,0,0.94027776,0.8358025,45 Sylvia Brown,2,,,,17 Rachel Barr,,
2024-04-14 20:41:41,2,1,1,1,0.72083336,0.67530864,27 Katharine Gilbert,16,08 Grace Robinson,27 Katharine Gilbert,10 Tori Taylor,,,
2024-04-14 20:45:29,3,1,0,0,0.325,0.82222223,24 Mia Letterie,5,,,,16 Emily Branson,,
2024-04-14 20:50:00,4,1,1,0,0.35,0.6981482,16 Emily Branson,6,,,,,10 Tori Taylor,
2024-04-14 20:52:07,4,2,1,0,0.09583333,0.6148148,27 Katharine Gilbert,1,,,,,16 Emily Branson,
2024-04-14 20:53:46,5,1,1,0,0.48333332,0.6030864,45 Sylvia Brown,4,,,,45 Sylvia Brown,,
2024-04-14 20:55:27,6,1,1,0,0.74861115,0.5777778,27 Katharine Gilbert,7,,,,08 Grace Robinson,,
2024-04-14 20:57:08,6,2,1,0,0.69166666,0.57901233,27 Katharine Gilbert,12,,,,08 Grace Robinson,,
2024-04-14 21:00:46,7,1,1,0,0.6652777,0.7333333,24 Mia Letterie,2,,,,,04 Ashley West,
2024-04-14 21:01:22,7,2,1,0,0.41111106,0.8259259,82 Mary Turner,5,,,,82 Mary Turner,,
2024-04-14 21:04:12,7,3,1,1,0.17916666,0.29506174,45 Sylvia Brown,2,45 Sylvia Brown,21 Elena Rubino,07 Mary Cowart,,,
2024-04-14 21:06:05,8,1,1,0,0.3694444,0.8018518,27 Katharine Gilbert,3,,,,,08 Grace Robinson,
2024-04-14 21:07:37,8,2,1,0,0.9625,0.8160494,27 Katharine Gilbert,1,,,,27 Katharine Gilbert,,
2024-04-14 21:08:20,8,3,1,0,0.23611107,0.8358025,27 Katharine Gilbert,5,,,,16 Emily Branson,,
2024-04-14 21:11:38,9,1,1,0,0.7513889,0.6679012,24 Mia Letterie,2,,,,45 Sylvia Brown,,
2024-04-14 21:12:35,9,2,1,0,0.20138893,0.845679,24 Mia Letterie,7,,,,20 Noel Holmes,,
2024-04-14 21:17:37,10,1,1,0,0.32638887,0.79999995,16 Emily Branson,9,,,,27 Katharine Gilbert,,
2024-04-14 21:20:15,10,2,1,0,0.34583333,0.28518516,27 Katharine Gilbert,2,,,,72 Grace Castro,,
2024-04-14 21:20:43,10,3,1,1,0.0027777355,0.3802469,27 Katharine Gilbert,2,27 Katharine Gilbert,10 Tori Taylor,22 Rebecca Henley,,,
