Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-16 16:00:13,9,31 María Vargas,1,0,0,0,0.6811895,0.86324525
2024-04-16 18:05:20,20,29 Charlotte Doran,0,0,0,0,0.8969571,0.8079287
2024-04-17 00:27:47,25,13 Hannah Abraham,0,0,0,0,0.14038728,0.7679779
2024-04-17 00:32:02,25,44 Jordan Harn,0,0,0,0,0.8471646,0.6616472
2024-04-17 02:12:41,25,42 Martha Wilber,0,0,0,0,0.64246196,0.6942225
2024-04-17 02:15:39,25,31 María Vargas,0,0,0,0,0.056016598,0.37953287
2024-04-17 02:18:19,25,42 Martha Wilber,0,0,0,0,0.9232365,0.5712969
2024-04-17 02:38:21,28,29 Charlotte Doran,0,0,0,0,0.03941909,0.3340504
2024-04-17 02:41:20,28,44 Jordan Harn,0,0,0,0,0.38105118,0.7470805
2024-04-17 02:44:48,28,13 Hannah Abraham,1,0,0,0,0.49031812,0.83927476
2024-04-17 02:52:49,29,29 Charlotte Doran,0,0,0,0,0.33679116,0.377689
2024-04-17 02:55:28,30,87 Christina Marsciano,1,0,0,0,0.87759334,0.8650891
2024-04-17 02:57:05,30,87 Christina Marsciano,0,0,0,0,0.91632086,0.80055314
2024-04-17 03:09:16,33,54 Liv Ford,0,0,1,0,0.0615491,0.37400123
2024-04-17 03:10:35,33,12 Emma Jaschke,1,0,0,0,0.5746888,0.9720344
