Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
4/25/2024 12:50,1,0,0,0,1,1,5,0,0,0,0,1,08 Manuela Cardenas,09 Cassandra Brown,88 Nikki Hair
4/25/2024 12:55,2,1,0,0,0,1,2,1,1,0,0,1,,,
4/25/2024 13:01,3,1,1,1,0,1,4,1,0,1,0,0,,,
4/25/2024 13:04,4,1,2,1,1,1,6,0,0,0,0,0,33 Valeria Cardenas,20 Yina Cartagena,00 Genny De Jesus
4/25/2024 13:07,5,2,2,0,0,0,0,0,0,0,0,0,,,
4/25/2024 13:09,6,2,3,1,1,2,15,1,1,0,0,1,00 Genny De Jesus,33 Valeria Cardenas,20 Yina Cartagena
4/25/2024 13:15,7,3,3,0,1,2,9,1,1,0,1,1,31 Eli Presberg,88 Nikki Hair,09 Cassandra Brown
4/25/2024 13:21,8,4,3,0,0,0,0,0,0,0,0,0,,,
4/25/2024 13:23,9,5,3,1,1,2,12,1,1,0,0,1,23 Linnea Soo,02 Jolene Zheng,66 Janine Hlavaty
4/25/2024 13:29,10,6,3,0,0,0,0,0,0,0,0,0,,,
4/25/2024 13:30,11,6,4,1,0,4,36,4,3,1,0,3,,,
4/25/2024 13:43,12,6,5,1,1,2,25,1,1,0,0,1,19 Eastelle Ding,09 Cassandra Brown,31 Eli Presberg
4/25/2024 13:48,13,7,5,0,1,1,1,0,0,0,0,1,,09 Cassandra Brown,19 Eastelle Ding
4/25/2024 13:53,14,8,5,0,0,3,17,3,2,2,1,2,,,
4/25/2024 14:03,15,8,6,1,1,1,7,0,0,0,0,0,20 Yina Cartagena,23 Linnea Soo,33 Valeria Cardenas
4/25/2024 14:05,16,9,6,0,0,1,13,1,1,0,1,0,,,
4/25/2024 14:12,17,9,7,1,1,1,9,0,0,0,0,0,96 Nina Finley,33 Valeria Cardenas,66 Janine Hlavaty
4/25/2024 14:15,18,10,7,0,1,1,4,0,0,0,1,0,31 Eli Presberg,33 Valeria Cardenas,88 Nikki Hair
4/25/2024 14:18,19,11,7,0,0,0,0,0,0,0,0,0,,,
4/25/2024 14:20,20,11,8,1,1,1,20,0,0,0,0,0,96 Nina Finley,20 Yina Cartagena,08 Manuela Cardenas
4/25/2024 14:24,21,12,8,1,1,1,1,0,0,0,0,0,,33 Valeria Cardenas,20 Yina Cartagena
4/25/2024 14:25,22,13,8,0,1,1,10,0,0,0,1,0,65 Anna Lieberman,09 Cassandra Brown,19 Eastelle Ding
4/25/2024 14:28,23,14,8,0,1,2,14,1,1,0,1,1,33 Valeria Cardenas,08 Manuela Cardenas,62 Casey Banta-Ryan
4/25/2024 14:33,24,15,8,0,0,1,1,1,0,1,1,0,,,
4/25/2024 14:36,25,15,9,1,0,1,1,1,1,1,0,0,,,
4/25/2024 14:38,26,15,10,1,1,1,8,0,0,0,0,0,96 Nina Finley,09 Cassandra Brown,23 Linnea Soo
4/25/2024 14:41,27,16,10,0,0,2,11,2,1,1,1,1,,,
4/25/2024 14:45,28,16,11,1,1,2,8,1,1,0,0,1,00 Genny De Jesus,20 Yina Cartagena,00 Genny De Jesus
4/25/2024 14:48,29,17,11,0,0,0,0,0,0,0,0,0,,,
4/25/2024 14:51,30,17,12,1,0,1,11,1,1,0,0,0,,,
4/25/2024 14:53,31,17,13,1,0,0,0,0,0,0,0,0,,,
