Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-08 11:49:54,1,1,24 Mia Letterie,45 Sylvia Brown,0,0,0,0,0,0,0,0,1,0,0,15.319717,-5.689602,-14.224,0.22083333,0.65555555,0.5125,0.7074074
2024-04-08 11:50:03,1,1,45 Sylvia Brown,20 Noel Holmes,0,0,0,0,0,0,0,0,1,0,0,12.390944,-4.402667,-11.582401,0.5125,0.7074074,0.75,0.7475309
2024-04-08 11:50:14,1,1,20 Noel Holmes,21 Elena Rubino,1,1,0,0,0,0,0,0,0,0,1,15.297543,14.088535,-5.9605346,0.75,0.7475309,0.87222224,0.6191358
2024-04-08 11:51:23,1,2,24 Mia Letterie,82 Mary Turner,1,1,0,0,0,0,0,0,0,0,0,23.689339,10.837333,-21.065065,0.2555556,0.84876543,0.6875,0.75
2024-04-08 11:59:33,2,1,28 Margie Quinn,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,0,8.0886755,3.7253342,-7.179732,0.39305553,0.6339506,0.5402777,0.59999996
2024-04-08 11:59:41,2,1,27 Katharine Gilbert,10 Tori Taylor,0,0,0,0,0,0,0,1,0,0,0,15.738636,3.6575963,15.307732,0.5402777,0.59999996,0.22638887,0.56666666
2024-04-08 11:59:49,2,1,10 Tori Taylor,22 Rebecca Henley,0,0,0,0,0,0,0,0,0,0,0,12.198772,10.5664015,-6.096,0.22638887,0.56666666,0.35138887,0.47037035
2024-04-08 11:59:56,2,1,22 Rebecca Henley,27 Katharine Gilbert,0,0,0,0,0,0,0,0,1,0,0,9.29947,-4.1317353,-8.331201,0.35138887,0.47037035,0.5222222,0.5080247
2024-04-08 12:00:06,2,1,27 Katharine Gilbert,72 Grace Castro,0,0,0,0,0,0,0,0,0,0,0,12.4824295,9.414936,-8.195732,0.5222222,0.5080247,0.69027776,0.4222222
2024-04-08 12:00:11,2,1,72 Grace Castro,10 Tori Taylor,0,0,0,0,0,0,0,0,0,0,0,17.475855,13.546665,11.040534,0.69027776,0.4222222,0.46388885,0.29876542
2024-04-08 12:00:19,2,1,10 Tori Taylor,28 Margie Quinn,0,0,0,0,0,0,0,0,1,0,0,7.2525268,-7.2474647,0.27093115,0.46388885,0.29876542,0.45833334,0.3648148
2024-04-08 12:00:41,2,1,28 Margie Quinn,10 Tori Taylor,0,0,0,0,0,0,0,0,0,0,0,15.065757,7.2474647,-13.208001,0.45833334,0.3648148,0.7291667,0.29876542
2024-04-08 12:00:44,2,1,10 Tori Taylor,27 Katharine Gilbert,0,0,0,0,0,0,0,1,0,0,0,17.612755,0.27093512,17.61067,0.7291667,0.29876542,0.36805552,0.29629627
2024-04-08 12:01:03,2,1,27 Katharine Gilbert,08 Grace Robinson,0,0,0,0,0,0,0,0,1,0,0,14.069145,-2.9802701,-13.749867,0.36805552,0.29629627,0.65,0.3234568
2024-04-08 12:01:10,2,1,08 Grace Robinson,27 Katharine Gilbert,0,0,0,0,0,0,0,0,0,0,1,11.278769,4.605868,-10.2954645,0.65,0.3234568,0.86111104,0.28148147
2024-04-08 12:01:22,2,1,27 Katharine Gilbert,08 Grace Robinson,0,0,0,0,0,0,0,0,0,1,0,13.8987055,0.60960156,13.88533,0.86111104,0.28148147,0.5763889,0.2759259
2024-04-08 12:01:34,2,1,08 Grace Robinson,27 Katharine Gilbert,0,0,0,0,0,0,0,0,1,0,0,9.367056,-6.0959992,-7.111999,0.5763889,0.2759259,0.7222222,0.33148146
2024-04-08 12:01:35,2,1,27 Katharine Gilbert,08 Grace Robinson,0,0,0,0,0,0,0,0,0,0,0,8.451752,7.5183997,-3.8607993,0.7222222,0.33148146,0.80138886,0.26296294
2024-04-08 12:01:47,2,1,08 Grace Robinson,28 Margie Quinn,0,0,0,0,0,1,0,1,0,0,0,25.99275,-1.6256009,25.941868,0.80138886,0.26296294,0.2694444,0.27777776
2024-04-08 12:01:55,2,1,28 Margie Quinn,27 Katharine Gilbert,0,0,0,1,1,0,0,0,0,0,1,18.967268,17.610666,7.044265,0.2694444,0.27777776,0.125,0.11728395
2024-04-08 12:08:05,4,1,16 Emily Branson,27 Katharine Gilbert,1,1,0,0,0,0,0,0,0,1,0,13.323338,9.076266,9.7536,0.9152777,0.6030864,0.71527773,0.52037036
2024-04-08 12:11:42,5,1,24 Mia Letterie,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,0,9.156284,-0.4741324,-9.144,0.41388893,0.6283951,0.60138893,0.63271606
2024-04-08 12:12:03,5,1,45 Sylvia Brown,25 Nadine Rowen,0,0,0,0,0,0,0,0,0,0,0,18.10445,12.869331,12.733869,0.60138893,0.63271606,0.3402778,0.5154321
2024-04-08 12:12:05,5,1,25 Nadine Rowen,45 Sylvia Brown,0,0,0,0,0,0,0,0,1,0,0,7.091005,-7.0442677,-0.8128007,0.3402778,0.5154321,0.35694447,0.57962966
2024-04-08 12:12:14,5,1,45 Sylvia Brown,09 Emma Patterson,0,0,0,0,0,0,0,1,0,0,0,19.203806,5.4186697,-18.423468,0.35694447,0.57962966,0.73472226,0.5302469
2024-04-08 12:12:20,5,1,09 Emma Patterson,12 Meaghan Creamer,0,0,0,0,0,0,0,0,0,0,1,11.517258,9.685868,-6.231466,0.73472226,0.5302469,0.8625,0.4419753
2024-04-08 12:12:27,5,1,12 Meaghan Creamer,45 Sylvia Brown,0,0,0,0,0,1,0,0,0,1,1,12.1919985,12.1919985,0.0,0.8625,0.4419753,0.8625,0.3308642
2024-04-08 12:12:32,5,1,45 Sylvia Brown,06 Micah Roberts,0,0,0,1,1,0,0,0,0,1,1,30.278013,30.2768,-0.27093405,0.8625,0.3308642,0.8680556,0.05493827
2024-04-08 12:16:56,6,1,11 Jamie Ferrie,02 Sierra Rimmer,0,0,0,0,0,0,0,0,0,0,0,9.832768,0.4741324,-9.821331,0.5847222,0.39382714,0.78611106,0.38950616
2024-04-08 12:17:24,6,1,02 Sierra Rimmer,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,1,12.15771,9.9567995,-6.9765368,0.78611106,0.38950616,0.9291667,0.29876542
2024-04-08 12:17:36,6,1,45 Sylvia Brown,02 Sierra Rimmer,0,0,0,0,0,0,0,0,0,1,0,13.076922,0.33866647,13.072536,0.9291667,0.29876542,0.66111106,0.295679
2024-04-08 12:17:44,6,1,02 Sierra Rimmer,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,0,6.9419227,0.67733294,-6.9087996,0.66111106,0.295679,0.8027777,0.28950617
2024-04-08 12:17:54,6,1,45 Sylvia Brown,02 Sierra Rimmer,0,0,0,0,0,0,0,0,1,0,0,10.666008,-5.0122657,9.414931,0.8027777,0.28950617,0.6097222,0.33518517
2024-04-08 12:18:00,6,1,02 Sierra Rimmer,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,0,6.9686375,1.8965328,-6.7056,0.6097222,0.33518517,0.7472222,0.31790122
2024-04-08 12:18:09,6,1,45 Sylvia Brown,19 Bethany Bailey,0,0,0,0,0,0,0,0,0,0,1,10.11021,5.8250675,-8.26347,0.7472222,0.31790122,0.9166667,0.2648148
2024-04-08 12:18:19,6,1,19 Bethany Bailey,45 Sylvia Brown,0,0,0,0,0,0,0,1,0,1,0,17.771456,-0.94826806,17.746138,0.9166667,0.2648148,0.5527777,0.27345678
2024-04-08 12:18:27,6,1,45 Sylvia Brown,02 Sierra Rimmer,0,0,0,0,0,1,0,0,0,0,0,10.335719,1.4901317,-10.227736,0.5527777,0.27345678,0.7625,0.25987655
2024-04-08 12:18:34,6,1,02 Sierra Rimmer,21 Elena Rubino,0,0,0,1,1,0,0,0,0,0,1,19.774075,18.626669,-6.6378655,0.7625,0.25987655,0.89861107,0.090123445
2024-04-08 12:21:24,8,1,27 Katharine Gilbert,28 Margie Quinn,0,0,0,0,0,0,0,0,1,0,0,6.78991,-6.7733355,0.4741353,0.34583333,0.55123454,0.33611107,0.61296296
2024-04-08 12:21:39,8,1,28 Margie Quinn,22 Rebecca Henley,0,0,0,0,0,0,0,0,0,0,0,9.488714,5.9605336,-7.382936,0.33611107,0.61296296,0.4875,0.55864197
2024-04-08 12:21:47,8,1,22 Rebecca Henley,16 Emily Branson,1,1,0,0,0,0,0,0,0,0,0,10.175791,2.09973,-9.9567995,0.4875,0.55864197,0.69166666,0.5395062
2024-04-08 12:22:20,8,2,28 Margie Quinn,16 Emily Branson,0,0,0,0,0,0,0,0,0,0,0,12.274878,0.60960156,12.259731,0.6930555,0.8333333,0.44166666,0.82777774
2024-04-08 12:22:32,8,2,16 Emily Branson,08 Grace Robinson,0,0,0,0,0,0,0,0,0,0,0,10.260872,3.3866646,-9.685865,0.44166666,0.82777774,0.64027774,0.79691356
