match,week,home_away,team,possessions,player_stats,defensive_blocks,points,passes
ATL @ ATX,Week 1,away,ATL,TRUE,TRUE,TRUE,TRUE,TRUE
ATL @ ATX,Week 1,home,ATX,TRUE,TRUE,TRUE,TRUE,TRUE
DC @ RAL,Week 1,away,DC,TRUE,TRUE,TRUE,TRUE,TRUE
DC @ RAL,Week 1,home,RAL,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ INDY,Week 1,away,NASH,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ INDY,Week 1,home,INDY,TRUE,TRUE,TRUE,TRUE,TRUE
MKE @ NY,Week 2,away,MKE,TRUE,TRUE,TRUE,TRUE,TRUE
MKE @ NY,Week 2,home,NY,TRUE,TRUE,TRUE,TRUE,TRUE
MKE @ PHL,Week 2,away,MKE,TRUE,TRUE,TRUE,TRUE,TRUE
MKE @ PHL,Week 2,home,PHL,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ DC,Week 2,away,NASH,TRUE,TRUE,TRUE,TRUE,TRUE
NASH @ DC,Week 2,home,DC,TRUE,TRUE,TRUE,TRUE,TRUE
RAL @ ATL,Week 2,away,RAL,FALSE,FALSE,FALSE,FALSE,FALSE
RAL @ ATL,Week 2,home,ATL,TRUE,TRUE,TRUE,TRUE,TRUE
NY @ PORT,Week 3,away,NY,TRUE,TRUE,TRUE,TRUE,TRUE
NY @ PORT,Week 3,home,PORT,FALSE,FALSE,FALSE,FALSE,FALSE
INDY @ PHL,Week 4,away,INDY,TRUE,TRUE,TRUE,TRUE,TRUE
INDY @ PHL,Week 4,home,PHL,TRUE,TRUE,TRUE,TRUE,TRUE
PORT @ MINN,Week 4,away,PORT,FALSE,FALSE,FALSE,FALSE,FALSE
PORT @ MINN,Week 4,home,MINN,TRUE,TRUE,TRUE,TRUE,TRUE
