week,match,team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
Week 1,ATL @ ATX,ATL,08 Dani Ortiz,16,16,15,0,0,0,78.80082,5.2512,102.78130000000002,6.84844,10,4,1,0,0,2,1
Week 1,ATL @ ATX,ATL,05 Megan Jarriel,15,15,15,1,0,1,39.099560000000004,2.7897,92.44300000000001,6.15922,10,4,0,1,0,1,0
Week 1,ATL @ ATX,ATL,13 Hannah Abraham,26,24,22,0,1,2,92.22640003400001,4.080620000000001,16.74914,0.7658,9,5,4,1,1,0,1
Week 1,ATL @ ATX,ATL,20 Soju Hokari,22,22,18,1,0,2,112.29910000000001,5.34966,39.76690000000001,2.20988,9,4,4,1,1,1,0
Week 1,ATL @ ATX,ATL,29 Charlotte Doran,30,30,22,0,0,2,119.45386,4.41976,49.43786,2.2427,9,3,8,2,0,0,3
Week 1,ATL @ ATX,ATL,03 Alex Krueger,11,10,11,0,1,3,22.28478,3.1835400000000003,72.45562000000001,6.58588,8,3,0,3,0,0,0
Week 1,ATL @ ATX,ATL,26 Morgan Lally,14,14,14,0,0,1,58.8025,4.51822,71.19752,5.0871,3,7,0,1,0,1,0
Week 1,ATL @ ATX,ATL,31 María Vargas,33,31,24,1,0,2,157.4481719296,7.570480000000001,36.8945120886,1.3237400000000001,5,5,8,2,0,1,0
Week 1,ATL @ ATX,ATL,12 Emma Jaschke,14,13,13,0,1,1,7.078180000000001,0.5907600000000001,25.37896973799999,6.914080000000001,3,7,1,1,0,0,1
Week 1,ATL @ ATX,ATL,10 Mia Griner,25,24,19,2,1,4,87.94666000000001,4.39788,117.52842000000001,6.181100000000001,5,5,6,4,0,1,0
Week 1,ATL @ ATX,ATL,18 Naomi Anderson,12,8,7,2,2,1,12.4716,1.78322,21.030402225600003,3.5226800000000007,4,6,3,1,0,0,0
Week 1,ATL @ ATX,ATL,75 Sarah Kingsley-Hart,6,4,6,0,2,0,5.0871,1.26904,61.975100000000005,10.32736,6,3,0,0,0,0,0
Week 1,ATL @ ATX,ATL,44 Jordan Harn,15,15,15,0,0,3,5.612220000000001,0.42666000000000004,20.9501,1.4003200000000002,4,5,0,2,1,0,0
Week 1,ATL @ ATX,ATL,45 Jennifer Lin,8,7,8,0,1,0,21.47522,3.0632,59.09788000000001,7.384500000000001,5,3,0,0,0,0,0
Week 1,ATL @ ATX,ATL,55 Trystan Grzyll,4,4,4,0,0,1,-2.5052600000000003,-0.8314400000000001,50.90382,12.723220000000001,4,4,0,1,0,0,1
Week 1,ATL @ ATX,ATL,27 Therese Doebler,10,10,10,1,0,1,14.167300000000001,1.57536,20.35934,2.0348400000000004,4,4,0,1,0,0,0
Week 1,ATL @ ATX,ATL,19 Elle Mayer,6,5,5,0,0,1,26.195192088600002,4.452580000000001,22.2082,4.44164,5,1,1,1,0,1,0
Week 1,ATL @ ATX,ATL,72 Annalise Paul,7,7,7,2,0,0,35.56594,5.07616,12.31844,1.7613400000000003,2,4,0,0,0,0,1
Week 1,ATL @ ATX,ATX,03 Madi Cannon,16,13,15,0,3,0,-9.003620000000002,-0.68922,176.341098576,10.76496,6,5,0,0,0,1,1
Week 1,ATL @ ATX,ATX,73 Clara Stewart,30,29,26,0,0,0,171.31807634400002,7.20946,-5.0903987382,-0.30632000000000004,6,5,1,0,0,2,2
Week 1,ATL @ ATX,ATX,81 Mackenzie Bailey,11,11,11,0,0,0,23.903900000000004,2.17706,40.871840000000006,3.7196000000000002,5,5,0,0,0,0,0
Week 1,ATL @ ATX,ATX,71 Wren Vogel,3,2,3,1,1,1,7.52672,7.52672,22.065980000000003,7.35168,5,5,0,1,0,0,0
Week 1,ATL @ ATX,ATX,26 Amy Broome,13,13,8,0,0,0,105.13340000000001,8.08466,-15.34882,-1.9145,5,5,5,0,0,1,0
Week 1,ATL @ ATX,ATX,69 Jaime Estes,16,14,14,1,2,1,38.366580000000006,2.9538,138.1175,9.86788,7,3,2,1,0,2,0
Week 1,ATL @ ATX,ATX,31 Nikki Gilbert,13,11,12,2,2,0,31.583780000000004,2.86628,131.92546000000002,10.994700000000002,5,5,1,0,0,1,1
Week 1,ATL @ ATX,ATX,00 Maggie Rowell,13,12,12,0,0,2,39.10566430120001,3.90558,121.58716000000001,10.13044,6,3,1,2,0,1,1
Week 1,ATL @ ATX,ATX,07 Shiru Liu,27,27,21,0,0,4,123.21722,5.360600000000001,27.153080000000003,1.29092,6,3,6,4,0,0,0
Week 1,ATL @ ATX,ATX,42 Meg Duffy,18,17,15,0,1,2,66.8434,4.452580000000001,26.70454,1.78322,6,3,3,2,0,1,2
Week 1,ATL @ ATX,ATX,02 Elise Bjork,23,23,18,1,0,2,114.50898000000001,5.448120000000001,1.8488600000000002,0.09846,6,3,5,2,0,2,2
Week 1,ATL @ ATX,ATX,88 Maddy Easton,10,9,9,0,1,1,98.42718,12.307500000000001,87.648956344,13.25928,4,5,0,1,0,2,3
Week 1,ATL @ ATX,ATX,05 Dre Esparza,24,23,20,0,0,1,70.3872020768,3.01944,-23.980480000000004,-1.2034000000000002,0,7,4,1,0,1,0
Week 1,ATL @ ATX,ATX,19 Vanessa Bacorn,7,6,7,1,1,2,-18.30262,-3.0522600000000004,114.50898000000001,16.3553,0,7,0,0,2,0,0
