team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
MINN,00 Alicia Carr,39,39,34,0,0,3,378.51306,10.514005008260556,-50.31306000000002,-1.4798263721329414,8,24,5,3,0,1,3
MKE,00 Donna Johnston,33,32,31,0,1,6,104.88178,3.7456817261907145,162.64498,5.246308566134839,9,44,2,3,3,1,1
PHL,00 Emilie Mohler,33,27,27,4,6,2,260.27354,10.411502084644,135.7654,5.02845222308289,2,30,6,2,0,3,4
DC,00 Emma Jones,16,16,15,1,0,0,91.51310000000001,5.71961342417375,54.39368,3.625973761690667,3,27,1,0,0,1,0
NY,00 Genny De Jesus,118,98,116,2,20,4,109.40000000000002,1.1395400989091669,1065.15122,9.182319057323243,70,28,2,2,2,5,11
ATX,00 Maggie Rowell,30,26,29,1,3,3,48.27338430120001,2.098851429266957,348.37336000000005,12.013101526237243,18,8,1,3,0,1,2
MINN,01 Amelia Zdechlik,7,7,7,0,0,1,51.046040000000005,8.509178859666669,48.234460000000006,6.891325862742858,4,32,0,1,0,1,1
DC,01 Ashleigh Jentilet,53,45,47,8,8,13,362.72664000000003,11.335024107651876,599.8402,12.762588261064256,7,42,6,11,2,9,2
PHL,01 Emily Shields,71,61,69,3,10,6,343.3519,6.478442292938114,985.0376000000001,14.275864860218842,55,10,2,5,1,7,9
RAL,01 Lindsay Soo,20,18,19,4,2,1,44.97434,2.6452564964823533,261.61916,13.769386260684211,15,2,1,1,0,2,0
ATL,01 Quincy Booth,29,28,22,0,1,1,293.49832,10.870468176847409,101.3044,4.604633246943637,9,5,7,1,0,4,2
RAL,02 Claire Bidigaire-Curtis,40,38,39,4,2,2,230.10102,6.218843125662162,327.62018,8.400811273076924,27,3,1,1,1,2,2
ATX,02 Elisa Bjork,36,36,33,0,0,3,205.84704000000002,6.237894573063031,106.10706,3.215502614629697,10,0,3,3,0,0,0
ATX,02 Elise Bjork,54,52,45,1,2,2,287.67824,5.7535842948612,45.48852000000001,1.0107546992466667,15,5,9,2,0,3,4
NY,02 Jolene Zheng,45,39,45,2,6,7,89.55484,2.7138356782242425,552.1418000000001,12.270023075386668,65,8,0,4,3,4,2
INDY,02 Maketa Mattatore,16,16,12,0,0,1,49.05496000000001,3.2702899144373334,-36.1567,-3.0134093468800005,3,8,4,1,0,0,0
INDY,02 Maketa Mattimore,127,127,107,2,0,6,768.95072,6.461853448489714,-66.9528,-0.6257827652170093,29,30,19,6,0,7,6
NASH,02 Sierra Rimmer,18,18,12,0,0,3,93.29632000000001,6.219482788704001,-2.96474,-0.2470001072866668,3,11,6,3,0,1,0
MINN,02 Steph Wood,41,40,40,3,1,4,330.78184,9.188433434068335,407.91978000000006,10.198048694025001,36,11,1,4,0,5,6
MINN,02 Stephanie Wood,26,22,26,0,4,1,118.04260000000002,5.621034385610477,231.11844000000002,8.889182402237694,14,2,0,0,1,1,4
ATL,03 Alex Krueger,49,46,48,0,3,8,83.15494000000001,2.247343431256757,216.76516000000004,4.516039779251667,27,20,1,8,0,0,1
RAL,03 Grace Conerly,35,34,22,0,1,9,253.19536000000002,9.738010551003848,33.45452,1.5203900271554547,5,16,13,8,1,2,3
PORT,03 Liv Player,49,45,39,7,4,9,326.63558,9.897873142455758,342.35636000000005,8.778122063543591,5,32,10,7,2,4,5
