team,Player,assists,secondary_assists,goals,turnovers,defensive_blocks,total_throw_gain,total_catch_gain,offensive_points_played,defensive_points_played,touches,throws,possessions_initiated,thrower_errors,receiver_errors,avg_completed_throw_gain,avg_caught_pass_gain
ATL,03 Alex Krueger,0,1,1,7,0,31.43,141.16000000000003,20,4,28,27,0,7,0,1.8800000000000001,5.215
ATL,05 Megan Jarriel,1,1,0,2,1,41.74,155.92000000000002,19,7,26,26,0,1,1,1.5499999999999998,6.0600000000000005
ATL,08 Dani Ortiz,4,1,0,2,0,133.2,100.42,20,7,38,38,4,2,0,4.01,3.3
ATL,10 Mia Griner,2,1,3,5,2,109.5,158.62,14,12,41,38,10,5,0,3.13,4.96
ATL,12 Emma Jaschke,0,2,1,2,1,10.309999999999999,134.41,11,10,20,19,1,1,1,0.5900000000000001,7.51
ATL,13 Hannah Abraham,1,1,2,2,2,96.69000000000001,97.36,14,10,35,33,4,1,1,2.31,4.909999999999999
ATL,18 Naomi Anderson,0,0,4,8,2,56.72,19.880000000000003,11,9,29,25,7,8,0,3.08,1.2600000000000002
ATL,19 Elle Mayer,1,0,0,1,0,28.53,39.66,10,1,12,12,1,1,0,2.85,3.6449999999999996
ATL,20 Soju Hokari,1,0,0,2,1,102.65,36.35,9,4,22,22,4,1,1,4.89,2.02
ATL,21 Samantha Li,0,0,1,1,0,97.45,4.18,8,0,14,13,3,0,1,8.12,0.38
ATL,26 Morgan Lally,1,3,0,2,0,68.86,114.65,10,13,26,26,0,2,0,2.75,4.390000000000001
ATL,27 Therese Doebler,0,0,0,2,1,17.13,58.81,10,5,13,13,0,2,0,1.765,7.63
ATL,29 Charlotte Doran,1,3,0,4,3,303.02,44.989999999999995,17,8,64,64,16,4,0,5.05,1.02
ATL,31 María Vargas,5,0,0,4,3,296,99.62,11,11,56,56,16,4,0,5.57,2.92
ATL,42 Martha Wilber,3,1,3,4,2,171.91,195.72,11,5,35,32,6,4,0,6.14,6.75
ATL,44 Jordan Harn,0,0,0,4,2,22.189999999999998,41.07,9,9,26,26,0,3,1,1.05,1.635
ATL,45 Jennifer Lin,0,0,1,0,0,19.63,54.02,5,3,8,7,0,0,0,2.8,6.75
ATL,51 Lilli Popovich,1,0,2,2,0,43.57,106.42,7,6,9,7,0,0,2,6.22,11.82
ATL,54 Liv Ford,1,0,0,0,0,88.96,26.57,6,6,10,10,4,0,0,11.12,4.43
