team,goals,break_goals,defensive_blocks,holds,clean_holds,pass_attempts,turnovers,completed_passess,completion_rate,hucks
ATL,33,7,32,55,18,732,85,647,0.8838797814207651,22
ATX,22,10,19,30,8,565,53,512,0.9061946902654867,8
DC,39,28,29,14,4,426,50,376,0.8826291079812206,15
INDY,38,8,24,58,23,849,86,763,0.8987043580683156,24
MINN,35,14,19,28,14,431,48,383,0.888631090487239,9
MKE,30,8,35,61,13,573,126,447,0.7801047120418848,22
NASH,46,10,42,81,19,1119,131,988,0.8829311885612153,20
NY,55,24,31,45,21,766,72,694,0.9060052219321149,23
PHL,59,35,48,29,15,735,67,668,0.908843537414966,12
PORT,30,10,24,27,11,483,47,436,0.9026915113871635,6
RAL,28,13,26,31,10,475,66,409,0.8610526315789474,20
original stats,101,49,86,88,30,1469,158,1311,0.8924438393464942,28
